			Precision	Recall	F1	IoU
Image 108:	0.0857	0.0010	0.0020	0.0010
Image 109:	0.1429	0.0004	0.0007	0.0004
Image 110:	0.0000	0.0000	0.0000	0.0000
Image 111:	0.1546	0.0008	0.0015	0.0008
Image 112:	0.1136	0.0003	0.0006	0.0003
Image 113:	0.0448	0.0006	0.0012	0.0006
Image 114:	0.0349	0.0022	0.0041	0.0020
Image 115:	0.0000	0.0000	0.0000	0.0000
Image 116:	0.1714	0.0017	0.0033	0.0017
Image 117:	0.2985	0.0012	0.0024	0.0012
Image 118:	0.0000	0.0000	0.0000	0.0000
Image 119:	0.3927	0.0429	0.0773	0.0402
Image 120:	0.0431	0.0016	0.0031	0.0015
Image 121:	0.0000	0.0000	0.0000	0.0000
Image 122:	0.0039	0.0002	0.0004	0.0002
Image 123:	0.0419	0.0030	0.0056	0.0028
Image 124:	0.0120	0.0006	0.0011	0.0006
Image 125:	0.0253	0.0027	0.0049	0.0025
Image 126:	0.0682	0.0007	0.0013	0.0007
Image 127:	0.1243	0.0010	0.0019	0.0010
Image 128:	0.0000	0.0000	0.0000	0.0000
Image 129:	0.0000	0.0000	0.0000	0.0000
Image 130:	0.0000	0.0000	0.0000	0.0000
Image 131:	0.1149	0.0033	0.0064	0.0032
Image 132:	0.0038	0.0003	0.0006	0.0003
Image 133:	0.0081	0.0000	0.0001	0.0000
Image 134:	0.3648	0.0065	0.0129	0.0065
Image 135:	0.0385	0.0003	0.0006	0.0003
Image 136:	0.0627	0.0022	0.0043	0.0022
Image 137:	0.0268	0.0013	0.0024	0.0012
Image 138:	0.0000	0.0000	0.0000	0.0000
Image 139:	0.0132	0.0013	0.0023	0.0011
Image 140:	0.0000	0.0000	0.0000	0.0000
Image 141:	0.2656	0.0169	0.0318	0.0162
Image 142:	0.1652	0.0106	0.0199	0.0100
Image 143:	0.0214	0.0020	0.0037	0.0019
Image 144:	0.0535	0.0027	0.0052	0.0026
Image 145:	0.0056	0.0003	0.0006	0.0003
Image 146:	0.0000	0.0000	0.0000	0.0000
Image 147:	0.0117	0.0006	0.0012	0.0006
Image 148:	0.0000	0.0000	0.0000	0.0000
Image 149:	0.0057	0.0004	0.0008	0.0004
Image 150:	0.0268	0.0033	0.0058	0.0029
Image 151:	0.0000	0.0000	0.0000	0.0000
Image 152:	0.1349	0.0077	0.0146	0.0074
Image 153:	0.0656	0.0006	0.0012	0.0006
Image 154:	0.0000	0.0000	0.0000	0.0000
Image 155:	0.0599	0.0009	0.0017	0.0009
Image 156:	0.1692	0.0099	0.0187	0.0094
Image 157:	0.0000	0.0000	0.0000	0.0000
Image 158:	0.0049	0.0001	0.0001	0.0001
Image 159:	0.6154	0.0008	0.0017	0.0008
Image 160:	0.3793	0.0016	0.0033	0.0016
Image 161:	0.0870	0.0001	0.0002	0.0001
Image 162:	0.1081	0.0027	0.0053	0.0026
Image 163:	0.1333	0.0015	0.0030	0.0015
Image 164:	0.0109	0.0007	0.0013	0.0007
Image 165:	0.2745	0.0023	0.0045	0.0023
Image 166:	0.1124	0.0005	0.0009	0.0005
Image 167:	0.0337	0.0002	0.0005	0.0002
Image 168:	0.3506	0.0058	0.0114	0.0057
Image 169:	0.5000	0.0031	0.0062	0.0031
Image 170:	0.2368	0.0006	0.0013	0.0006
Image 171:	0.0000	0.0000	0.0000	0.0000
Image 172:	0.1429	0.0006	0.0012	0.0006
Image 173:	0.0273	0.0002	0.0005	0.0002
Image 174:	0.0502	0.0006	0.0012	0.0006
Image 175:	0.0041	0.0001	0.0001	0.0001
Image 176:	0.1200	0.0115	0.0209	0.0106
Image 177:	0.0388	0.0003	0.0005	0.0003
Image 178:	0.0000	0.0000	0.0000	0.0000
Image 179:	0.1684	0.0033	0.0066	0.0033
Image 180:	0.0515	0.0032	0.0059	0.0030
Image 181:	0.0645	0.0005	0.0011	0.0005
Image 182:	0.0216	0.0005	0.0010	0.0005
Image 183:	0.0349	0.0004	0.0008	0.0004
Image 184:	0.0034	0.0001	0.0002	0.0001
Image 185:	0.0297	0.0005	0.0010	0.0005
Image 186:	0.0051	0.0001	0.0001	0.0001
Image 187:	0.1022	0.0019	0.0038	0.0019
Image 188:	0.0000	0.0000	0.0000	0.0000
Image 189:	0.0120	0.0001	0.0003	0.0001
Image 190:	0.0000	0.0000	0.0000	0.0000
Image 191:	0.0000	0.0000	0.0000	0.0000
Image 192:	0.1949	0.0029	0.0057	0.0029
Image 193:	0.2333	0.0014	0.0028	0.0014
Image 194:	0.3791	0.0046	0.0091	0.0046
Image 195:	0.0238	0.0003	0.0007	0.0003
Image 196:	0.0203	0.0004	0.0008	0.0004
Image 197:	0.0000	0.0000	0.0000	0.0000
Image 198:	0.1739	0.0021	0.0041	0.0020
Image 199:	0.0182	0.0004	0.0007	0.0003
Image 200:	0.0000	0.0000	0.0000	0.0000
Image 201:	0.0000	0.0000	0.0000	0.0000
Image 202:	0.2095	0.0042	0.0082	0.0041
Image 203:	0.0472	0.0034	0.0063	0.0032
Image 204:	0.0317	0.0026	0.0048	0.0024
Image 205:	0.0316	0.0034	0.0062	0.0031
Image 206:	0.0952	0.0005	0.0010	0.0005
Image 207:	0.0714	0.0012	0.0024	0.0012
Image 208:	0.0411	0.0006	0.0011	0.0006
Image 209:	0.0620	0.0008	0.0015	0.0008
Image 210:	0.0175	0.0002	0.0003	0.0002
Image 211:	0.0000	0.0000	0.0000	0.0000
Image 212:	0.0684	0.0031	0.0060	0.0030
Image 213:	0.0000	0.0000	0.0000	0.0000
Image 214:	0.0571	0.0004	0.0007	0.0004
Image 215:	0.0000	0.0000	0.0000	0.0000
Image 216:	0.0270	0.0004	0.0008	0.0004
Image 217:	0.0000	0.0000	0.0000	0.0000
Image 218:	0.0408	0.0033	0.0061	0.0030
Image 219:	0.0161	0.0008	0.0016	0.0008
Image 220:	0.0000	0.0000	0.0000	0.0000
Image 221:	0.1658	0.0050	0.0098	0.0049
Image 222:	0.0270	0.0004	0.0007	0.0004
Image 223:	0.1583	0.0042	0.0082	0.0041
Image 224:	0.0242	0.0002	0.0003	0.0002
Image 225:	0.0650	0.0011	0.0022	0.0011
Image 226:	0.0127	0.0003	0.0005	0.0003
Image 227:	0.1622	0.0013	0.0026	0.0013
Image 228:	0.0530	0.0015	0.0029	0.0015
Image 229:	0.2393	0.0022	0.0043	0.0022
Image 230:	0.0194	0.0002	0.0004	0.0002
Image 231:	0.4365	0.0104	0.0203	0.0102
Image 232:	0.0515	0.0002	0.0003	0.0002
Image 233:	0.0000	0.0000	0.0000	0.0000
Image 234:	0.3950	0.0031	0.0061	0.0031
Image 235:	0.2109	0.0016	0.0031	0.0016
Image 236:	0.1812	0.0016	0.0032	0.0016
Image 237:	0.1152	0.0028	0.0055	0.0027
Image 238:	0.0000	0.0000	0.0000	0.0000
Image 239:	0.0465	0.0034	0.0064	0.0032
Image 240:	0.0246	0.0002	0.0005	0.0002
Image 241:	0.0343	0.0006	0.0012	0.0006
Image 242:	0.0678	0.0011	0.0022	0.0011
Image 243:	0.0926	0.0021	0.0041	0.0020
Image 244:	0.1429	0.0010	0.0020	0.0010
Image 245:	0.0000	0.0000	0.0000	0.0000
Image 246:	0.0000	0.0000	0.0000	0.0000
Image 247:	0.0136	0.0003	0.0006	0.0003
Image 248:	0.0368	0.0032	0.0060	0.0030
Image 249:	0.0067	0.0001	0.0002	0.0001
Image 250:	0.0068	0.0003	0.0006	0.0003
Image 251:	0.0000	0.0000	0.0000	0.0000
Image 252:	0.1389	0.0047	0.0091	0.0046
Image 253:	0.0242	0.0011	0.0022	0.0011
Image 254:	0.0545	0.0015	0.0029	0.0014
Image 255:	0.0469	0.0011	0.0021	0.0011
Image 256:	0.0045	0.0001	0.0001	0.0001
Image 257:	0.1229	0.0009	0.0018	0.0009
Image 258:	0.1196	0.0030	0.0059	0.0030
Image 259:	0.0317	0.0004	0.0009	0.0004
Image 260:	0.0820	0.0015	0.0030	0.0015
Image 261:	0.0240	0.0013	0.0025	0.0012
Image 262:	0.0232	0.0014	0.0027	0.0013
Image 263:	0.0060	0.0007	0.0013	0.0006
Image 264:	0.1290	0.0036	0.0070	0.0035
Image 265:	0.0000	0.0000	0.0000	0.0000
Image 266:	0.0924	0.0036	0.0069	0.0035
Image 267:	0.1222	0.0018	0.0036	0.0018
Image 268:	0.0374	0.0003	0.0005	0.0003
Image 269:	0.0200	0.0002	0.0004	0.0002
Image 270:	0.0000	0.0000	0.0000	0.0000
Image 271:	0.0000	0.0000	0.0000	0.0000
Image 272:	0.0000	0.0000	0.0000	0.0000
Image 273:	0.1290	0.0005	0.0009	0.0005
Image 274:	0.0190	0.0002	0.0005	0.0002
Image 275:	0.0586	0.0014	0.0026	0.0013
Image 276:	0.4182	0.0124	0.0240	0.0122
Image 277:	1.0000	0.0004	0.0009	0.0004
Image 278:	0.6471	0.0010	0.0020	0.0010
Image 279:	0.0000	0.0000	0.0000	0.0000
Image 280:	0.0000	0.0000	0.0000	0.0000
Image 281:	0.0000	0.0000	0.0000	0.0000
Image 282:	0.0000	0.0000	0.0000	0.0000
Image 283:	0.0000	0.0000	0.0000	0.0000
Image 284:	0.0000	0.0000	0.0000	0.0000
Image 285:	0.3333	0.0008	0.0016	0.0008
Image 286:	0.3684	0.0011	0.0022	0.0011
Image 287:	0.3500	0.0013	0.0026	0.0013
Image 288:	0.5000	0.0010	0.0021	0.0010
Image 289:	0.1574	0.0016	0.0032	0.0016
Image 290:	0.0520	0.0019	0.0036	0.0018
Image 291:	0.0876	0.0011	0.0022	0.0011
Image 292:	0.0000	0.0000	0.0000	0.0000
Image 293:	0.2301	0.0172	0.0321	0.0163
Image 294:	0.0870	0.0012	0.0023	0.0012
Image 295:	0.0000	0.0000	0.0000	0.0000
Image 296:	0.0000	0.0000	0.0000	0.0000
Image 297:	0.0182	0.0001	0.0001	0.0001
Image 298:	0.0135	0.0002	0.0003	0.0002
Image 299:	0.0702	0.0007	0.0013	0.0007
Image 300:	0.0000	0.0000	0.0000	0.0000
Image 301:	0.5594	0.0127	0.0248	0.0126
Image 302:	0.1585	0.0019	0.0037	0.0019
Image 303:	0.0000	0.0000	0.0000	0.0000
Image 304:	0.0000	0.0000	0.0000	0.0000
Image 305:	0.4762	0.0265	0.0501	0.0257
Image 306:	0.1957	0.0016	0.0032	0.0016
Image 307:	0.3750	0.0061	0.0121	0.0061
